Shipment_ID,Order_Date,Delivery_Date,Scheduled_Delivery_Date,Origin_City,Destination_City,Distance_KM,Carrier_ID,Vehicle_Type,Shipment_Weight_KG,Shipment_Volume_M3,Priority_Level,Customer_ID,Freight_Cost,Delivery_Status
SHP-01434,2024-11-06,2024-11-09,2024-11-07,Dallas,Detroit,740,CAR-006,Truck,783.38,1.564,Overnight,CUST-4175,1838.41,Delayed
SHP-01435,2024-01-22,2024-01-24,2024-01-24,Baltimore,Cleveland,1893,CAR-008,Cargo Plane,469.9,0.823,Express,CUST-9927,4765.91,On-Time
SHP-01436,2024-04-05,2024-04-06,2024-04-06,Atlanta,Phoenix,2053,CAR-002,Semi-Truck,427.1,1.236,Overnight,CUST-6426,3725.89,On-Time
SHP-01437,2024-02-05,2024-02-06,2024-02-06,Baltimore,Boston,997,CAR-005,Semi-Truck,244.82,0.483,Standard,CUST-4122,1009.3,On-Time
SHP-01438,2023-02-12,2023-02-19,2023-02-15,Nashville,San Francisco,1569,CAR-002,Semi-Truck,36.13,0.085,Standard,CUST-6685,1112.38,Delayed
SHP-01439,2023-10-23,2023-10-27,2023-10-24,Boston,Dallas,603,CAR-006,Van,113.0,0.261,Standard,CUST-9571,473.02,Delayed
SHP-01440,2023-10-24,2023-10-25,2023-10-25,Cleveland,Milwaukee,591,CAR-006,Truck,19.37,0.045,Express,CUST-5828,559.35,On-Time
SHP-01441,2023-01-16,2023-01-17,2023-01-17,Seattle,Miami,246,CAR-006,Van,262.38,0.379,Standard,CUST-9001,228.37,On-Time
SHP-01442,2023-11-10,2023-11-13,2023-11-12,Baltimore,Detroit,1154,CAR-008,Truck,1049.56,2.88,Standard,CUST-1817,3019.66,Delayed
SHP-01443,2023-09-15,2023-09-19,2023-09-19,Cleveland,Nashville,2478,CAR-004,Semi-Truck,223.61,0.645,Standard,CUST-3540,1920.23,On-Time
SHP-01444,2023-03-30,2023-04-02,2023-04-02,Cleveland,Baltimore,2063,CAR-003,Van,950.46,0.991,Express,CUST-8078,5883.83,On-Time
SHP-01445,2024-08-22,2024-08-25,2024-08-23,Boston,Atlanta,2399,CAR-008,Van,197.23,0.21,Overnight,CUST-7328,7507.17,Delayed
SHP-01446,2024-03-08,2024-03-10,2024-03-10,New York,Seattle,1080,CAR-002,Semi-Truck,732.6,2.044,Standard,CUST-6091,1194.99,On-Time
SHP-01447,2023-06-27,2023-06-28,2023-06-28,Dallas,Miami,995,CAR-007,Truck,266.39,0.385,Standard,CUST-4268,1009.49,On-Time
SHP-01448,2023-09-14,2023-09-20,2023-09-18,Boston,Miami,2301,CAR-006,Truck,75.49,0.117,Standard,CUST-9942,1698.65,Delayed
SHP-01449,2023-07-07,2023-07-09,2023-07-09,Milwaukee,Washington DC,1380,CAR-004,Semi-Truck,165.38,0.296,Standard,CUST-8240,945.52,On-Time
SHP-01450,2024-12-11,2024-12-14,2024-12-14,Cleveland,San Francisco,1951,CAR-002,Semi-Truck,211.78,0.512,Standard,CUST-8006,1562.35,On-Time
SHP-01451,2024-04-22,2024-04-25,2024-04-24,Seattle,Cleveland,1419,CAR-005,Truck,537.34,0.98,Standard,CUST-7896,1994.27,Delayed
SHP-01452,2023-04-01,2023-04-04,2023-04-02,San Francisco,Phoenix,881,CAR-006,Truck,1585.34,2.374,Express,CUST-3085,2009.99,Delayed
SHP-01453,2024-09-27,2024-10-01,2024-10-01,Houston,Seattle,2123,CAR-001,Truck,299.83,0.812,Standard,CUST-7433,2259.07,On-Time
SHP-01454,2023-05-09,2023-05-13,2023-05-13,Minneapolis,Phoenix,2181,CAR-002,Van,333.34,0.565,Standard,CUST-8540,2074.87,On-Time
SHP-01455,2023-02-25,2023-02-27,2023-02-26,New York,Los Angeles,823,CAR-002,Van,267.47,0.292,Standard,CUST-5760,700.97,Delayed
SHP-01456,2024-08-02,2024-08-05,2024-08-04,Los Angeles,Seattle,1120,CAR-001,Truck,200.98,0.449,Standard,CUST-4359,917.91,Delayed
SHP-01457,2024-06-12,2024-06-16,2024-06-16,New York,Washington DC,2391,CAR-008,Semi-Truck,55.51,0.105,Standard,CUST-4662,3079.9,On-Time
SHP-01458,2024-11-22,2024-11-25,2024-11-25,Milwaukee,Los Angeles,2262,CAR-003,Van,172.38,0.467,Express,CUST-1105,3839.83,On-Time
SHP-01459,2024-05-11,2024-05-15,2024-05-14,San Francisco,New York,2182,CAR-002,Van,473.94,1.111,Express,CUST-2983,3154.08,Delayed
SHP-01460,2024-06-16,2024-06-17,2024-06-17,Baltimore,Chicago,659,CAR-002,Van,242.68,0.505,Standard,CUST-8271,570.08,On-Time
SHP-01461,2024-02-05,2024-02-10,2024-02-08,Cleveland,Miami,1996,CAR-001,Van,240.38,0.612,Standard,CUST-4015,1723.78,Delayed
SHP-01462,2023-08-29,2023-08-30,2023-08-30,Boston,Seattle,453,CAR-002,Truck,434.91,0.884,Express,CUST-3018,636.34,On-Time
SHP-01463,2024-03-18,2024-03-21,2024-03-20,Chicago,San Francisco,1415,CAR-003,Van,579.74,1.706,Standard,CUST-3797,2057.73,Delayed
SHP-01464,2024-06-07,2024-06-08,2024-06-08,Phoenix,Chicago,1281,CAR-003,Truck,141.16,0.293,Express,CUST-5751,2123.21,On-Time
SHP-01465,2023-10-24,2023-10-29,2023-10-27,Dallas,San Francisco,2238,CAR-003,Cargo Plane,689.72,1.778,Express,CUST-5508,5166.73,Delayed
SHP-01466,2024-02-05,2024-02-07,2024-02-07,Chicago,Seattle,1155,CAR-008,Semi-Truck,69.09,0.133,Standard,CUST-7960,1485.88,On-Time
SHP-01467,2023-06-01,2023-06-05,2023-06-04,Atlanta,Detroit,1506,CAR-008,Truck,147.36,0.352,Standard,CUST-1180,1927.71,Delayed
SHP-01468,2024-08-17,2024-08-19,2024-08-19,Philadelphia,Milwaukee,1077,CAR-005,Truck,1175.79,2.86,Standard,CUST-8282,2120.77,On-Time
SHP-01469,2023-02-13,2023-02-17,2023-02-14,New York,Houston,840,CAR-004,Truck,643.53,1.418,Overnight,CUST-3593,1622.08,Delayed
SHP-01470,2024-01-02,2024-01-04,2024-01-04,Denver,Dallas,1196,CAR-002,Semi-Truck,540.14,1.591,Standard,CUST-9602,1129.29,On-Time
SHP-01471,2024-02-04,2024-02-08,2024-02-08,Chicago,Boston,2335,CAR-007,Van,784.77,1.751,Standard,CUST-6558,3678.55,On-Time
SHP-01472,2024-04-15,2024-04-16,2024-04-16,Baltimore,Los Angeles,652,CAR-007,Semi-Truck,394.98,1.096,Express,CUST-5963,1121.99,On-Time
SHP-01473,2024-02-08,2024-02-10,2024-02-09,Denver,Minneapolis,780,CAR-008,Semi-Truck,217.44,0.259,Standard,CUST-8729,1219.24,Delayed
SHP-01474,2024-09-12,2024-09-14,2024-09-14,Nashville,Baltimore,1994,CAR-001,Truck,362.08,1.037,Express,CUST-9608,2953.18,On-Time
SHP-01475,2023-09-23,2023-09-26,2023-09-26,Los Angeles,Detroit,1958,CAR-001,Truck,191.93,0.458,Standard,CUST-6703,1612.71,On-Time
SHP-01476,2024-08-21,2024-08-23,2024-08-22,Phoenix,Cleveland,316,CAR-001,Truck,332.58,0.558,Express,CUST-4796,451.24,Delayed
SHP-01477,2023-04-09,2023-04-10,2023-04-10,Chicago,Phoenix,1384,CAR-008,Truck,290.4,0.513,Express,CUST-6302,3028.38,On-Time
SHP-01478,2023-08-26,2023-08-27,2023-08-27,Houston,Philadelphia,1684,CAR-006,Semi-Truck,588.54,1.663,Overnight,CUST-3850,3828.79,On-Time
SHP-01479,2024-01-29,2024-02-02,2024-01-30,Los Angeles,Nashville,984,CAR-002,Truck,387.66,0.577,Express,CUST-8234,1236.88,Delayed
SHP-01480,2024-01-19,2024-01-22,2024-01-22,Minneapolis,Milwaukee,2339,CAR-003,Semi-Truck,1109.29,1.155,Express,CUST-6261,6614.89,On-Time
SHP-01481,2023-04-21,2023-04-23,2023-04-23,Dallas,Baltimore,1554,CAR-002,Truck,547.4,0.783,Express,CUST-4272,2004.11,On-Time
SHP-01482,2023-07-20,2023-07-22,2023-07-21,Chicago,Nashville,530,CAR-007,Truck,336.05,0.383,Standard,CUST-8111,640.0,Delayed
SHP-01483,2024-06-25,2024-06-26,2024-06-26,Denver,Washington DC,1427,CAR-008,Van,131.37,0.372,Express,CUST-2576,2490.12,On-Time
SHP-01484,2023-07-28,2023-07-31,2023-07-29,Boston,Philadelphia,786,CAR-006,Van,644.06,1.493,Standard,CUST-2179,907.22,Delayed
SHP-01485,2023-12-15,2023-12-19,2023-12-19,Los Angeles,Chicago,2016,CAR-008,Semi-Truck,94.24,0.097,Standard,CUST-9653,2493.52,On-Time
SHP-01486,2024-05-23,2024-05-28,2024-05-27,Phoenix,Detroit,2174,CAR-008,Van,189.87,0.478,Standard,CUST-9205,2846.25,Delayed
SHP-01487,2023-12-27,2023-12-29,2023-12-28,Minneapolis,Atlanta,234,CAR-003,Semi-Truck,198.61,0.407,Standard,CUST-2100,261.57,Delayed
SHP-01488,2024-03-25,2024-03-30,2024-03-27,Washington DC,Seattle,1384,CAR-006,Truck,828.79,0.854,Standard,CUST-2653,1717.6,Delayed
SHP-01489,2023-05-01,2023-05-05,2023-05-05,New York,Washington DC,2391,CAR-008,Van,349.92,0.59,Standard,CUST-1369,3503.18,On-Time
SHP-01490,2023-08-18,2023-08-19,2023-08-19,Phoenix,Chicago,1281,CAR-006,Van,177.49,0.513,Express,CUST-6863,1586.33,On-Time
SHP-01491,2023-03-11,2023-03-12,2023-03-12,Denver,Atlanta,1443,CAR-001,Van,224.25,0.378,Express,CUST-9755,1879.38,On-Time
SHP-01492,2024-08-12,2024-08-13,2024-08-13,Baltimore,Los Angeles,652,CAR-003,Truck,615.14,0.778,Standard,CUST-6115,1065.27,On-Time
SHP-01493,2024-02-13,2024-02-14,2024-02-14,Miami,Dallas,841,CAR-001,Truck,141.32,0.393,Express,CUST-8716,932.85,On-Time
SHP-01494,2023-09-27,2023-09-28,2023-09-28,San Francisco,Atlanta,1315,CAR-005,Van,819.33,1.834,Express,CUST-4285,3237.59,On-Time
SHP-01495,2023-12-09,2023-12-13,2023-12-10,Los Angeles,Phoenix,724,CAR-004,Van,428.55,0.834,Express,CUST-2021,864.1,Delayed
SHP-01496,2023-08-30,2023-08-31,2023-08-31,Cleveland,Washington DC,979,CAR-003,Semi-Truck,42.2,0.081,Standard,CUST-1579,1010.95,On-Time
SHP-01497,2023-12-21,2023-12-22,2023-12-22,Atlanta,Milwaukee,1968,CAR-008,Semi-Truck,593.94,0.78,Overnight,CUST-2320,6959.2,On-Time
SHP-01498,2024-07-18,2024-07-24,2024-07-22,Los Angeles,Chicago,2016,CAR-006,Van,1256.8,2.604,Standard,CUST-9316,2978.51,Delayed
SHP-01499,2023-08-19,2023-08-20,2023-08-20,Minneapolis,Boston,1221,CAR-005,Truck,470.46,1.139,Express,CUST-4731,2181.23,On-Time
SHP-01500,2023-01-22,2023-01-24,2023-01-23,Miami,Minneapolis,1836,CAR-007,Van,234.97,0.636,Overnight,CUST-7215,3796.37,Delayed
SHP-01501,2024-11-29,2024-12-02,2024-12-02,Denver,New York,2341,CAR-005,Van,396.7,0.834,Express,CUST-7342,4478.96,On-Time
SHP-01502,2024-01-22,2024-01-23,2024-01-23,Nashville,Philadelphia,386,CAR-005,Truck,277.06,0.426,Express,CUST-3257,600.23,On-Time
SHP-01503,2023-04-29,2023-05-03,2023-05-03,Milwaukee,Los Angeles,2262,CAR-005,Semi-Truck,467.19,1.104,Standard,CUST-7024,3134.69,On-Time
SHP-01504,2023-12-27,2023-12-30,2023-12-28,Boston,Denver,298,CAR-007,Truck,155.26,0.289,Standard,CUST-4721,294.52,Delayed
SHP-01505,2024-02-27,2024-02-28,2024-02-28,Atlanta,Baltimore,863,CAR-002,Semi-Truck,180.08,0.527,Express,CUST-1244,921.75,On-Time
SHP-01506,2023-09-13,2023-09-15,2023-09-14,Dallas,Milwaukee,1383,CAR-001,Van,450.01,0.701,Express,CUST-5630,2273.08,Delayed
SHP-01507,2023-02-14,2023-02-17,2023-02-16,San Francisco,Boston,1053,CAR-002,Truck,338.06,0.514,Standard,CUST-3125,989.67,Delayed
SHP-01508,2024-09-12,2024-09-13,2024-09-13,Houston,Nashville,406,CAR-008,Truck,157.99,0.227,Standard,CUST-2251,526.1,On-Time
SHP-01509,2023-09-14,2023-09-15,2023-09-15,Washington DC,Atlanta,501,CAR-002,Van,399.22,0.84,Overnight,CUST-4609,844.47,On-Time
SHP-01510,2024-03-30,2024-04-01,2024-04-01,New York,Baltimore,1987,CAR-005,Semi-Truck,423.84,0.936,Express,CUST-5795,3560.73,On-Time
SHP-01511,2024-10-31,2024-11-02,2024-11-02,Seattle,Phoenix,1030,CAR-005,Semi-Truck,345.76,0.545,Standard,CUST-9870,1221.67,On-Time
SHP-01512,2024-05-30,2024-06-03,2024-06-03,Denver,Los Angeles,2465,CAR-002,Truck,382.96,1.056,Standard,CUST-8966,2106.36,On-Time
SHP-01513,2023-10-14,2023-10-18,2023-10-18,Los Angeles,San Francisco,2041,CAR-004,Semi-Truck,747.18,1.613,Standard,CUST-5996,2109.82,On-Time
SHP-01514,2024-07-20,2024-07-22,2024-07-21,Denver,Chicago,903,CAR-004,Truck,625.48,1.77,Standard,CUST-8213,949.27,Delayed
SHP-01515,2024-10-27,2024-10-29,2024-10-28,Houston,Milwaukee,1228,CAR-002,Cargo Plane,545.83,1.383,Express,CUST-7294,1771.44,Delayed
SHP-01516,2023-11-04,2023-11-05,2023-11-05,Phoenix,Seattle,1096,CAR-001,Van,331.68,0.632,Express,CUST-7290,1540.51,On-Time
SHP-01517,2024-05-22,2024-05-24,2024-05-23,San Francisco,Detroit,884,CAR-007,Truck,736.41,1.406,Standard,CUST-7214,1420.89,Delayed
SHP-01518,2023-07-08,2023-07-09,2023-07-09,Detroit,Baltimore,846,CAR-008,Truck,316.02,0.563,Express,CUST-1512,1889.56,On-Time
SHP-01519,2024-07-08,2024-07-09,2024-07-09,Baltimore,Phoenix,746,CAR-004,Semi-Truck,275.1,0.616,Express,CUST-6508,788.49,On-Time
SHP-01520,2023-09-26,2023-09-27,2023-09-27,Washington DC,New York,899,CAR-008,Truck,497.11,0.786,Express,CUST-6586,2271.91,On-Time
SHP-01521,2024-09-28,2024-09-29,2024-09-29,Minneapolis,Dallas,975,CAR-002,Truck,224.91,0.537,Standard,CUST-1935,719.25,On-Time
SHP-01522,2023-04-22,2023-04-25,2023-04-25,New York,Nashville,1638,CAR-001,Cargo Plane,446.83,0.479,Standard,CUST-5709,1650.96,On-Time
SHP-01523,2024-07-01,2024-07-05,2024-07-05,Milwaukee,Los Angeles,2262,CAR-008,Truck,504.29,1.035,Standard,CUST-9501,3782.34,On-Time
SHP-01524,2023-09-24,2023-09-28,2023-09-28,Nashville,Miami,2391,CAR-007,Truck,275.05,0.549,Standard,CUST-3160,2790.19,On-Time
SHP-01525,2023-01-16,2023-01-17,2023-01-17,New York,Los Angeles,823,CAR-001,Truck,79.67,0.148,Standard,CUST-5094,679.81,On-Time
SHP-01526,2024-07-09,2024-07-13,2024-07-10,Philadelphia,Atlanta,360,CAR-008,Truck,132.67,0.278,Standard,CUST-6926,471.41,Delayed
SHP-01527,2023-10-03,2023-10-06,2023-10-06,Philadelphia,Chicago,2400,CAR-007,Semi-Truck,522.16,1.291,Express,CUST-3036,4046.29,On-Time
SHP-01528,2023-11-11,2023-11-14,2023-11-14,Boston,Nashville,1896,CAR-005,Truck,771.07,0.969,Standard,CUST-3929,3223.09,On-Time
SHP-01529,2024-03-30,2024-04-01,2024-04-01,Washington DC,Boston,1192,CAR-005,Truck,138.95,0.407,Standard,CUST-6877,1213.49,On-Time
SHP-01530,2024-05-06,2024-05-07,2024-05-07,Seattle,San Francisco,319,CAR-006,Truck,511.88,1.307,Express,CUST-2303,477.54,On-Time
SHP-01531,2023-10-11,2023-10-14,2023-10-14,Philadelphia,Washington DC,2119,CAR-004,Truck,454.88,0.734,Express,CUST-5227,2614.57,On-Time
SHP-01532,2023-10-10,2023-10-15,2023-10-13,Philadelphia,Los Angeles,1615,CAR-007,Truck,231.35,0.522,Standard,CUST-4812,1671.19,Delayed
SHP-01533,2023-04-28,2023-04-30,2023-04-30,Miami,Minneapolis,1836,CAR-002,Van,207.48,0.244,Express,CUST-6199,2119.54,On-Time
SHP-01534,2023-02-12,2023-02-13,2023-02-13,Chicago,Nashville,530,CAR-003,Van,558.06,1.208,Standard,CUST-5244,765.75,On-Time
SHP-01535,2023-09-21,2023-09-25,2023-09-25,Detroit,New York,2099,CAR-007,Semi-Truck,105.2,0.294,Standard,CUST-1732,2142.96,On-Time
SHP-01536,2024-09-06,2024-09-07,2024-09-07,Minneapolis,San Francisco,361,CAR-003,Van,241.45,0.352,Standard,CUST-2854,391.14,On-Time
SHP-01537,2024-06-07,2024-06-08,2024-06-08,Boston,San Francisco,303,CAR-003,Van,175.05,0.252,Standard,CUST-7815,314.45,On-Time
SHP-01538,2023-03-15,2023-03-18,2023-03-16,Milwaukee,San Francisco,264,CAR-006,Semi-Truck,909.55,1.039,Express,CUST-6902,480.77,Delayed
SHP-01539,2023-12-10,2023-12-11,2023-12-11,Chicago,Houston,1838,CAR-002,Semi-Truck,653.32,0.725,Overnight,CUST-1510,4120.6,On-Time
SHP-01540,2023-06-14,2023-06-16,2023-06-16,Baltimore,Detroit,1154,CAR-006,Van,324.16,0.356,Standard,CUST-2740,1015.56,On-Time
SHP-01541,2024-09-15,2024-09-19,2024-09-19,Milwaukee,Los Angeles,2262,CAR-002,Truck,1167.99,3.467,Standard,CUST-6636,2897.42,On-Time
SHP-01542,2023-08-09,2023-08-13,2023-08-13,Cleveland,New York,2288,CAR-003,Truck,698.18,1.638,Standard,CUST-3458,3977.05,On-Time
SHP-01543,2024-01-26,2024-01-30,2024-01-29,Milwaukee,Nashville,2464,CAR-003,Truck,593.91,0.929,Express,CUST-4679,5645.46,Delayed
SHP-01544,2024-08-01,2024-08-02,2024-08-02,Washington DC,Phoenix,327,CAR-008,Truck,387.68,1.121,Standard,CUST-7849,517.52,On-Time
SHP-01545,2024-07-05,2024-07-08,2024-07-06,Boston,Houston,1354,CAR-007,Semi-Truck,170.9,0.359,Express,CUST-9592,1873.21,Delayed
SHP-01546,2024-06-16,2024-06-20,2024-06-20,Milwaukee,Boston,2435,CAR-004,Van,209.36,0.371,Standard,CUST-4998,1769.98,On-Time
SHP-01547,2023-12-03,2023-12-06,2023-12-06,San Francisco,Seattle,1915,CAR-005,Semi-Truck,630.27,1.297,Standard,CUST-8468,2959.73,On-Time
SHP-01548,2023-11-19,2023-11-20,2023-11-20,Detroit,Miami,389,CAR-008,Van,852.59,1.268,Express,CUST-7716,1121.01,On-Time
SHP-01549,2024-01-06,2024-01-11,2024-01-09,New York,Boston,1834,CAR-007,Truck,309.39,0.368,Standard,CUST-4774,1966.99,Delayed
SHP-01550,2024-04-04,2024-04-05,2024-04-05,Seattle,Cleveland,1419,CAR-002,Van,195.77,0.29,Express,CUST-9808,1591.2,On-Time
SHP-01551,2023-09-08,2023-09-09,2023-09-09,Milwaukee,Miami,991,CAR-001,Truck,319.08,0.823,Express,CUST-3263,1302.95,On-Time
SHP-01552,2024-09-12,2024-09-14,2024-09-14,Miami,Washington DC,1276,CAR-007,Van,1208.79,2.915,Standard,CUST-7898,2531.41,On-Time
SHP-01553,2024-06-01,2024-06-02,2024-06-02,Denver,Detroit,1670,CAR-006,Truck,324.17,0.581,Overnight,CUST-8439,3154.13,On-Time
SHP-01554,2023-01-16,2023-01-19,2023-01-19,Cleveland,Minneapolis,1722,CAR-006,Truck,388.0,0.629,Standard,CUST-8698,1736.0,On-Time
SHP-01555,2023-04-14,2023-04-15,2023-04-15,Chicago,Nashville,530,CAR-002,Van,146.16,0.206,Standard,CUST-2196,368.09,On-Time
SHP-01556,2023-05-16,2023-05-18,2023-05-18,Detroit,Dallas,1175,CAR-007,Truck,97.53,0.145,Standard,CUST-3088,1056.21,On-Time
SHP-01557,2024-02-16,2024-02-19,2024-02-19,New York,Phoenix,2249,CAR-006,Van,141.18,0.406,Express,CUST-6515,2378.68,On-Time
SHP-01558,2024-08-28,2024-08-30,2024-08-30,Los Angeles,Detroit,1958,CAR-005,Van,237.06,0.516,Express,CUST-2208,3012.63,On-Time
SHP-01559,2023-12-30,2023-12-31,2023-12-31,Washington DC,Seattle,1384,CAR-006,Semi-Truck,231.56,0.458,Overnight,CUST-8816,2426.52,On-Time
SHP-01560,2024-12-17,2024-12-18,2024-12-18,Baltimore,Los Angeles,652,CAR-002,Van,95.76,0.268,Standard,CUST-9345,492.82,On-Time
SHP-01561,2023-03-27,2023-03-30,2023-03-30,Denver,Boston,1973,CAR-004,Van,99.74,0.223,Standard,CUST-8430,1341.31,On-Time
SHP-01562,2024-01-24,2024-01-28,2024-01-27,Atlanta,Milwaukee,1968,CAR-006,Van,946.59,2.32,Standard,CUST-2587,2743.98,Delayed
SHP-01563,2023-08-26,2023-08-27,2023-08-27,Washington DC,Chicago,216,CAR-006,Truck,337.8,0.903,Standard,CUST-9326,210.47,On-Time
SHP-01564,2024-03-12,2024-03-13,2024-03-13,Minneapolis,San Francisco,361,CAR-007,Truck,225.45,0.29,Standard,CUST-1687,376.32,On-Time
SHP-01565,2023-08-04,2023-08-05,2023-08-05,Nashville,Houston,493,CAR-008,Van,384.19,0.522,Standard,CUST-6150,854.58,On-Time
SHP-01566,2023-04-12,2023-04-14,2023-04-14,Houston,Atlanta,1070,CAR-007,Van,471.92,0.51,Standard,CUST-4664,1240.92,On-Time
SHP-01567,2023-06-23,2023-06-26,2023-06-26,Minneapolis,Houston,1678,CAR-007,Semi-Truck,440.04,0.793,Standard,CUST-4795,2011.11,On-Time
SHP-01568,2024-11-13,2024-11-16,2024-11-16,New York,Chicago,1934,CAR-008,Van,245.17,0.706,Standard,CUST-9334,3154.34,On-Time
SHP-01569,2023-06-22,2023-06-26,2023-06-26,Miami,Denver,2494,CAR-006,Semi-Truck,308.34,0.807,Standard,CUST-4197,2202.43,On-Time
SHP-01570,2023-01-07,2023-01-08,2023-01-08,Phoenix,Cleveland,316,CAR-004,Semi-Truck,553.93,0.842,Standard,CUST-7987,299.35,On-Time
SHP-01571,2024-03-31,2024-04-03,2024-04-02,Phoenix,Miami,1212,CAR-006,Semi-Truck,150.79,0.233,Standard,CUST-8281,1069.38,Delayed
SHP-01572,2024-03-18,2024-03-23,2024-03-21,Philadelphia,Los Angeles,1615,CAR-001,Van,128.62,0.174,Standard,CUST-2908,1458.83,Delayed
SHP-01573,2023-12-29,2024-01-01,2023-12-31,Los Angeles,Philadelphia,1905,CAR-002,Semi-Truck,1810.68,3.948,Express,CUST-9307,4412.42,Delayed
SHP-01574,2023-12-10,2023-12-14,2023-12-14,Washington DC,Cleveland,2346,CAR-005,Truck,368.1,0.392,Standard,CUST-2213,2886.91,On-Time
SHP-01575,2024-12-24,2024-12-26,2024-12-25,Phoenix,Los Angeles,759,CAR-008,Semi-Truck,190.84,0.568,Express,CUST-9540,1634.72,Delayed
SHP-01576,2023-11-22,2023-11-23,2023-11-23,Baltimore,Boston,997,CAR-006,Truck,416.5,1.053,Standard,CUST-1130,1064.3,On-Time
SHP-01577,2023-09-09,2023-09-12,2023-09-12,Miami,Philadelphia,1861,CAR-005,Truck,71.87,0.198,Standard,CUST-4205,1766.87,On-Time
SHP-01578,2023-09-29,2023-10-01,2023-10-01,Houston,Detroit,1160,CAR-006,Truck,300.83,0.683,Standard,CUST-3159,1026.23,On-Time
SHP-01579,2023-07-23,2023-07-26,2023-07-26,Denver,New York,2341,CAR-002,Van,261.63,0.659,Express,CUST-4509,2780.14,On-Time
SHP-01580,2023-01-04,2023-01-05,2023-01-05,Nashville,Cleveland,966,CAR-006,Truck,673.92,0.749,Standard,CUST-1635,1047.73,On-Time
SHP-01581,2024-03-04,2024-03-05,2024-03-05,Seattle,Nashville,468,CAR-008,Truck,256.37,0.695,Express,CUST-4845,939.27,On-Time
SHP-01582,2024-10-15,2024-10-16,2024-10-16,Baltimore,Atlanta,762,CAR-003,Truck,342.1,0.35,Standard,CUST-5916,1064.18,On-Time
SHP-01583,2023-08-26,2023-08-28,2023-08-28,Denver,Phoenix,1512,CAR-008,Truck,105.22,0.214,Express,CUST-7425,2960.66,On-Time
SHP-01584,2024-09-04,2024-09-06,2024-09-06,Boston,Detroit,1383,CAR-008,Truck,337.78,0.478,Standard,CUST-2841,2137.21,On-Time
SHP-01585,2023-10-22,2023-10-25,2023-10-23,Milwaukee,San Francisco,264,CAR-005,Truck,238.98,0.516,Standard,CUST-2897,279.49,Delayed
SHP-01586,2023-06-30,2023-07-01,2023-07-01,Miami,Dallas,841,CAR-003,Truck,550.92,0.766,Standard,CUST-7522,1266.02,On-Time
SHP-01587,2024-12-22,2024-12-23,2024-12-23,Detroit,Milwaukee,674,CAR-004,Semi-Truck,444.52,0.488,Standard,CUST-7750,573.46,On-Time
SHP-01588,2024-12-04,2024-12-05,2024-12-05,Detroit,Denver,441,CAR-001,Van,147.29,0.261,Standard,CUST-7701,393.66,On-Time
SHP-01589,2023-03-04,2023-03-05,2023-03-05,Miami,Milwaukee,898,CAR-002,Truck,189.27,0.275,Standard,CUST-8240,745.87,On-Time
SHP-01590,2024-03-11,2024-03-14,2024-03-14,New York,Denver,1527,CAR-003,Semi-Truck,516.64,1.305,Standard,CUST-4587,2167.04,On-Time
SHP-01591,2023-12-14,2023-12-17,2023-12-17,Cleveland,Phoenix,2346,CAR-005,Van,485.63,0.534,Express,CUST-4625,4664.34,On-Time
SHP-01592,2024-08-09,2024-08-12,2024-08-10,New York,Seattle,1080,CAR-006,Truck,125.53,0.33,Express,CUST-3117,1280.23,Delayed
SHP-01593,2024-09-11,2024-09-16,2024-09-12,San Francisco,Detroit,884,CAR-004,Cargo Plane,357.27,0.48,Standard,CUST-6778,653.13,Delayed
SHP-01594,2024-07-20,2024-07-26,2024-07-22,Denver,Miami,1292,CAR-004,Van,82.28,0.142,Standard,CUST-9776,824.8,Delayed
SHP-01595,2024-02-10,2024-02-11,2024-02-11,Denver,Atlanta,1443,CAR-004,Van,386.92,0.963,Express,CUST-6431,1582.77,On-Time
SHP-01596,2024-02-28,2024-03-03,2024-03-03,Baltimore,Dallas,2477,CAR-008,Semi-Truck,263.12,0.585,Standard,CUST-1591,3910.2,On-Time
SHP-01597,2023-01-21,2023-01-25,2023-01-24,Phoenix,Houston,2053,CAR-001,Truck,601.05,1.007,Express,CUST-8944,3716.08,Delayed
SHP-01598,2023-02-13,2023-02-17,2023-02-16,Washington DC,Houston,1968,CAR-006,Truck,213.18,0.582,Standard,CUST-5051,1587.46,Delayed
SHP-01599,2023-02-04,2023-02-06,2023-02-06,Seattle,Atlanta,1191,CAR-004,Van,342.88,0.392,Standard,CUST-3149,1045.11,On-Time
SHP-01600,2023-10-04,2023-10-05,2023-10-05,New York,Los Angeles,823,CAR-001,Van,1057.07,1.299,Express,CUST-7805,1941.06,On-Time
SHP-01601,2023-01-21,2023-01-26,2023-01-25,Minneapolis,Milwaukee,2339,CAR-003,Semi-Truck,850.61,1.337,Standard,CUST-3487,4001.06,Delayed
SHP-01602,2023-04-08,2023-04-09,2023-04-09,Baltimore,Phoenix,746,CAR-006,Semi-Truck,510.62,1.195,Express,CUST-6114,1056.78,On-Time
SHP-01603,2023-11-28,2023-11-30,2023-11-30,Miami,Detroit,1491,CAR-004,Semi-Truck,280.61,0.382,Standard,CUST-2633,1087.34,On-Time
SHP-01604,2023-09-28,2023-09-29,2023-09-29,Houston,Baltimore,1063,CAR-001,Truck,170.98,0.473,Overnight,CUST-4641,1703.46,On-Time
